gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Bronzlaşma,Solaryum,5-Dakika-Komple-Vücut 7-Dakika-Komple-Vücut 10-Dakika-Komple-Vücut 12-Dakika-Komple-Vücut 15-Dakika-Komple-Vücut 20-Dakika-Komple-Vücut 5-Dakika-Dekolte-Yüz 7-Dakika-Dekolte-Yüz 10-Dakika-Dekolte-Yüz 12-Dakika-Dekolte-Yüz 15-Dakika-Dekolte-Yüz 20-Dakika-Dekolte-Yüz,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Bronzlaşma,Sprey Solaryum,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Cilt Bakımı,Göz-Çevresi-Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Cilt Bakımı,Klasik-Cilt-Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Cilt Bakımı,Nem-Bakımı,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Dövme,Dövme Sildirme,Kalıcı-Dövme,ProvideService,C62,C_BAC092001-gen,Tattoo_removal,0,60,,,,,,,,,,,,,,,1-Seans-Göbek,1-Seans-Kaş-Üstleri,1-Seans-Göğüs-+-Göbek,1-Seans-Kaş-Ortası,1-Seans-El-Üstleri,1-Seans-Dudak-Üstü,1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Laser_hair_removal,15,15
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Dövme,Dövme Yaptırma,Geçici-Dövme Kalıcı-Dövme,ProvideService,C62,C_BAC092001-gen,Temporary_tattoo,0,60,,,,,,,,,,,,,,,1-Seans-Göbek,1-Seans-Kaş-Üstleri,1-Seans-Göğüs-+-Göbek,1-Seans-Kaş-Ortası,1-Seans-El-Üstleri,1-Seans-Dudak-Üstü,1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Intense_pulsed_light,15,15
Tüm Hizmetler,Kişisel Bakım Hizmetleri,El ve Ayak Bakımı,Manikür,Standart-Manikür Fransız-Manikürü Erkekler-İçin-Manikür ,ProvideService,C62,C_BAC092001-gen,Manicure,0,60,,,,,,,,,,,,,,,1-Seans-Göbek,1-Seans-Kaş-Üstleri,1-Seans-Göğüs-+-Göbek,1-Seans-Kaş-Ortası,1-Seans-El-Üstleri,1-Seans-Dudak-Üstü,1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Hair_removal,15,15
Tüm Hizmetler,Kişisel Bakım Hizmetleri,El ve Ayak Bakımı,Oje,Ayak-Ojesi El-Ojesi Kalıcı-Oje Kalıcı-Oje-Çıkartma,ProvideService,C62,C_BAC092001-gen,Nailpolish,0,60,,,,,,,,,,,,,,,1-Seans-Göbek,1-Seans-Kaş-Üstleri,1-Seans-Göğüs-+-Göbek,1-Seans-Kaş-Ortası,1-Seans-El-Üstleri,1-Seans-Dudak-Üstü,1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Hair_removal,15,15
Tüm Hizmetler,Kişisel Bakım Hizmetleri,El ve Ayak Bakımı,Parafin Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Manicure,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,El ve Ayak Bakımı,Pedikür,Standart-Pedikür Fransız-Pedikürü Erkekler-İçin-Pedikür ,ProvideService,C62,C_BAC092001-gen,Pedicure,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,El ve Ayak Bakımı,Protez Tırnak,Akrilik-Tırnak Dipping-Tırnak Jel-Tırnak Protez-Tırnak-Çıkartma,ProvideService,C62,C_BAC092001-gen,Artificial_nails,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
